SIG. TOP,Código,NOMBRE AUTOR,TITULO LIBRO,Edición,Cant.
616.5/F18-ESEN,ESEN-1295,"FALABELLA, Rafael; ESCOBAR, Carlos; GIRALDO, Nelson",Fundamentos de Medicina: Dermatología,1990,1
628.2/O65-ESEN,"ESEN-1297-1298, 1664-1665, 1959,  3447-3449","BECCAR VARELA, Carlos",Módulo para capacitación sobre la lactancia materna,1990,8
610.736/B85-ESEN,"ESEN-1299,1301, 1333-1334, 2908, 3154-3155, 3158",L.Brunner. D.Suddarth,Enfermería Médico Quirúrgica,1989,8
610.736/W56-ESEN,ESEN-1304,"WHALEY, Lucille F.; WONG, Donna",Tratado de Enfermería Pediátrica,1995,1
306/S55-ESEN,"ESEN-1305,1307-1309",F. Silva Santisteban,"Antropología, Conceptos y Nociones Generales",1986,5
610.03/G25-ESEN,ESEN-1310,"ANGUIANO RUEDA, Cristino",Diccionario de Ciencias Médicas,1988,1
612.6/F96-ESEN,ESEN-1314-1315,FUNDACION ARCHE,Educación Sexual: Orientación para Padres y Docentes,1989,2
614.5/B38-ESEN,"ESEN-1319,1322, 1840-1842","BENENSON, Abram",El Control de las Enfermedades Transmisibles en el Hombre,1987,5
610.73/D88-ESEN,ESEN-1328,"DU GAS, Beverly",Tratado de Enfermería Práctica,1986,1
616.01/J27-ESEN,"ESEN-1329-1330, 2938","JAMETZ, Ernest; MELNICK, Joseph; ADELBERG, Edward",Microbiología Médica,1990,3
612.01/G23-ESEN,"ESEN-1331-1332, 1342-1343,3016","GANONG, William",Fisiología Médica,1990,5
616.072/S95-ESEN,"ESEN-1338,1390-1391,1913-1914,2035,2303-2304,2866, 3005-3006","GOIC, Alejandro; CHAMORRO, Gastón",Semiología Médica  ,1987,10
615.5/G71-ESEN,ESEN-1346,"GONZALEZ A.Marco Antonio; PELAEZ DELGADO, Fernando; DARIO LOPERA, William",Fundamentos de Medicina - Manual de Terapeútica,1991,1
616/072/S95-ESEN,"ESEN-1351, 3008","SUROS, Juan; SUROS, Antonio",Semiología Médica y Técnica Explorativa,1987,2
616.72/M74-ESEN,ESEN-1353,"MOLINA, Javier",Fundamentos de Medicina. Reumatología,1988,1
574/N26-ESEN,"ESEN-1355,1861,2936-2937","NASON, Alvin",Biología,1987,4
610.736/M34-ESEN,"ESEN-1357, 4358","MEADOR, Billie",Enfermería en Cuidados Intensivos,1986,2
616.15/R84-ESEN,"ESEN-1358-1359, 3199","RESTREPO, A.; CAMPUZANO, G.; FALABELLA, F.; y otros",Fundamentos de Medicina: Hematología,1987,3
616.01/B84-ESEN,"ESEN-1360, 1541, 2939","Jawetz, Melnick y otros",Microbiología Médica 14va Edición,1995,3
616.9/R44-ESEN,"ESEN-1361,1363, 1752, 1755, 3411","RESTREPO, A.; RESTREPO, M.; BOTERO, D.; y otros",Fundamentos de Medicina: Enfermedades Infecciosas,1991,5
519.5/S75-ESEN,ESEN-1364,"SPIEGEL, Murray R.","Estadística, teoría y 875 problemas resueltos",1970,1
540.9/C26-ESEN,ESEN-1365,"CARTOLIN RODRIGUEZ, Walter","Química, Teoría y Práctica",2000,1
610.7/T73-ESEN,"ESEN-1366, 1605, 4355-4356","DE TORNYAY, R.; THOMPSON M.",Enseñanza de la Enfermería. Metodos Recursos y Habilidades,1986,4
610.736/G63-ESEN,"ESEN-1367, 2556, 2893, 4365-4366","GLOVER MAYERS, Marlene","Cuidados de Enfermería: Planeación, control y casos",1983,5
362.173/B17-ESEN,ESEN-1368,María Balderas Pedrero,Administracion de los Servicios de Enfermería,1995,1
617.7/S12-ESEN,ESEN-1370-1371,"SABISTON, DAVID C.","Tratado de patología quirúrgica, bases biológicas de la práctica quirúrgica moderna",1988,2
616.42/O73-ESEN,"ESEN-1373-1374,3182","ORREGO, Arturo",Fundamentos de Medicina: Endocrinología ,1984,3
618.92/S55-ESEN,ESEN-1377,"SILVER, Henry; KEMPE, Henry; BRUYN, Henry; FULGINITI, Vincent",Manual de Pediatría,1988,1
641.1/S18-ESEN,ESEN-1378,"SALINAS, Rolando",Alimentos y nutrición. Bromatología aplicada a la salud,1988,1
174.2/T48-ESEN,"ESEN-1379,2439-2441,2679,2870,4340","THOMPSON, Joyce B.",Etica en Enfermería ,1984,7
615.7/M26-ESEN,ESEN-1380,"MARTINEZ, Matías",La Enfermera y los Medicamentos,1985,1
616.89/S66-ESEN,ESEN-1383,"SOLOMON, Philip; PATCH, Vernon",Manual de Psiquiatría,1974,1
618.97/R36-ESEN,ESEN-1385,"REICHEL, William",Aspectos Clínicos del Envejecimiento,1981,1
617.07/S2-ESEN,ESEN-1386-1389,"SABISTON, DAVID C.","Tratado de patología quirúrgica, bases biológicas de la práctica quirúrgica moderna",1988,4
616.026/W98-ESEN,"ESEN-1393-1395, 2906",Wingaarden y Smith,Tratado de Medicina Interna ,1991,4
616.86/A87-ESEN,"ESEN-1396-1397,3326-3328","ATIAS, Antonio",Parasitología Clínica,1991,5
617.07/P45-ESEN,ESEN-1400-1401,"PEREZ TAMAYO, Ruy",Principios de Patología,1990,2
658.3/R94-ESEN,ESEN-1402,"RUIZ MARQUILLO, Darwin",Administración de Personal,1987,1
618.2/R74-ESEN,ESEN-1406-1407,"RODRIGUEZ-GARCIA, Rosalía; SCHAEFER, Lois; YUNES, Joao",Educación en Lactancia para los Profesionales deSecundaria,1990,2
617.11/A78-ESEN,ESEN-1409,"ARTIGAS NAMBRARD, René",Normas Médico-Quirúrgicas para el tratamiento de las quemaduras,1984,1
618.32/M74-ESEN,ESEN-1410,"MOLINA, Ramiro; ORELLANA, Marcial; LOPEZ, Jorge; y otros",Elementos de Salud Materna y Perinatal,1981,1
641.562/R74-ESEN,ESEN-1411,"RADRIGAN, Maria Eugenia",Temas de nutrición y alimentación en pediatría,1985,1
641.39/M77-ESEN,ESEN-1412,"CONCHA PACHECO, Fabiola",La desnutrición y sus efectos en el desarrollo del niño,1989,1
617.601/M41-ESEN,ESEN-1414,MELGAR H.; Rosa Ana,La Salud Bucal,1989,1
615.58/C81-ESEN,ESEN-1419-1420,"COTILLO, Pedro",El Farmaceútico y la terapia,1990,2
615.18/G25-ESEN,ESEN-1421,"GARRIDO, Marco; PEREZ, Simon",Control de calidad aplicado a la industria farmacéutica y  al medicamento,1991,1
613.62/O99-ESEN,ESEN-1423,"OZEJO, César; VARILLAS, Walter","Seminario-Taller ""Participación popular en Salud""",1989,1
615.882/C33-ESEN,ESEN-1425,"CAVERO B., Gilberto",Supersticiones y Medicina Quechuas ,1988,1
614.40/S71-ESEN,ESEN-1429-1430,"SOTO CACERES, Victor",Manual Básico de Epidemiología y Medicina Preventiva ,1989,2
601/M95-ESEN,ESEN-1431,"MAKABE, Pedro",El cambio Epistemológico,1989,1
150/G25-ESEN,ESEN-1435,"CACERES VELASQUEZ, Artidoro",Neuropsicología de la Sexualidad,1990,1
362.22/V18-ESEN,ESEN-1436,"VALDIVIA PONCE, Oscar",Panorama de la Psiquiatría en el Perú,1991,1
617.461/M94-ESEN,ESEN-1441-1443,"MUÑANTE GUZMAN, Enrique",Experiencias vividas en hemodiálisis,1990,3
615.8/P18-ESEN,ESEN-1444,"PAJARES CASTAÑEDA, Lucio",Rehabilitación y Agentes Físicos,1989,1
615.892/M62-ESEN,ESEN-1445-1446,"MIONG YONG, Ri; OBREGON, Lida",Acupuntura Clínica,1989,2
616.079/A65-ESEN,ESEN-1448-1449,"ARANGUENA, Luis R.",Inmunología y Reumatología,1990,2
617.461/C29-ESEN,ESEN-1452,"CASTRO KIKUCHI, Jose",El Tratamiento de Hemodiálisis,1989,1
615.7/C26-ESEN,ESEN-1461-1462,"CID CARCAMO, Edison",Cinetica de Disolución de Medicamentos,1981,2
612.015/L86-ESEN,ESEN-1463-1464,"LOPEZ, C.; ROJAS, C.; CHIMOY, P.",Bioquímica Clínica,1990,2
615.32/A36-ESEN,"ESEN-1465,1467","ALDAVE, Augusto; MOSTACERO, Jose",Botánica Farmaceutica,1988,2
615.7/C26-ESEN,ESEN-1470,"CID CARCAMO, Edison",Introducción a la Farmacocinetica,1982,1
576.165/G96-ESEN,ESEN-1473,"GUTIERREZ-VAZQUEZ, J.M.",Microorganismos,1976,1
618.24/P78-ESEN,ESEN-1474,"PORTUGAL BENAVIDES, Walter",Protocolos de Atención Materna y Perinatal,1990,1
614.4/G88-ESEN,"ESEN-1477-1478, 1741, 1923-1924, 2076, 3084","GUERRERO, Rodrigo; GONZALEZ, Carlos; MEDINA, Ernesto",Epidemiología,1986,7
610.74/K83-ESEN,"ESEN-1479,1645,1690,3116-3117","KROEGER, Axel; LUNA, Ronaldo",Atención Primaria de Salud: Principios y Métodos,1992,5
614.47/O65-ESEN,"ESEN-1481, 3073",OPS,Presente y Futuro de las Inmunizaciones,1990,2
658.54/H19-ESEN,ESEN-1485,"HAMPTON, David",Administración,1989,1
658/P47-ESEN,ESEN-1486,"PETIT, Thomas",Fundamentos de Coordinación Administrativa,1980,1
610.730/M26-ESEN,ESEN-1487-1488,"MARRINER, Ann",Manual para Administración de Enfermería,1986,2
614/A33-ESEN,ESEN-1489-1490,"DEVER, Alan",Epidemiología y Administración de Servicios de Salud,1991,2
610.730/R87-ESEN,"ESEN-1491, 1656, 1676, 1687, 1930","ROVERE, Mario",Planificación Estratégica de Recursos Humanos en  Salud,1993,5
614.546/V18-ESEN,ESEN-1493,"VALDEREZ, M.; TAUIL, P.; ALBORNOZ, R.",Situación de los Programas de Control de la Lepra en las Américas,1988,1
610.736/O65-ESEN,"ESEN-1494-1495, 1958, 2032",OPS,Módulos de aprendizaje para la prevención y el control de la infecciónn VIH,1992,4
610/C53-ESEN,ESEN-1496,"CIPRIANI THORNE, Enrique","Medicina, Sociedad y Ciencia ",1990,1
155.5/O65-ESEN,"ESEN-1498-1499, 1883-1885, 2132-2133, 2670, 3064, 3085, 3798, 3800","SILBER, Tomás; MUNIST, Mabel; y otros",Manual de Medicina de la Adolescencia ,1992,12
65.5/G72-ESEN,"ESEN-1500-1501, 2868","GOODMAN, Alfred; GOODMAN, Louis; RALL, Theodore; MURAD, Ferid",Las Bases Farmacologicas de la Terapeútica ,1986,3
618.1/B38,ESEN-1509,"BENSON, Ralph",Manual de Ginecología Y Obstetricia,1983,1
612.64/M62-ESEN,"ESEN-1510, 3090","MOORE, Keith",Embriología Clínica ,1989,2
616.009/V39-ESEN,"ESEN-1511-1512,1599","VELEZ, H.; ROJAS, W.; BORRERO, J.; RESTREPO, J.",Fundamentos de Medicina: El paciente en estado crítico,1990,3
610.7/G81-ESEN,"ESEN-1515,1575,2885","GREENE, W.; SIMONS-MORTON, B.G.",Educación para la Salud,1988,3
610.734/M19-ESEN,"ESEN-1516, 1572, 2005","MALM GARCIA, Loretta",Enfermería en Desastres,1989,3
610.734/C68-ESEN,"ESEN-1517, 1556, 1699","COHEN, Raquel; AHEARN, Frederick",Manual de la Atención de Salud Mental para Víctimas de Desastres,1989,3
641.1/H17-ESEN,"ESEN-1518, 1603, 1851","HALPERN, Seymour",Manual de Nutrición Clínica,1990,3
301/L64-ESEN,ESEN-1520,"LIGHT, D.; KELLER, S.; CALHOUN, C.",Sociología,1992,2
616.89/R95-ESEN,ESEN-1521,"RUND, D.; HUTZLER, J.",Psiquiatría en casos de Urgencia,1991,1
155.4/H96-ESEN,"ESEN-1522,1549","HURLOCK, Elizabeth",Desarrollo del niño,1988,2
658/K74-ESEN,ESEN-1524,"KOONTZ, Harold",Administración,1988,1
574.192/M96-ESEN,"ESEN-1542,2966,2969","MURRAY, R.; GRANNER, D.; Y OTROS",Bioquímica de Harper,1992,3
150.1/G25-ESEN,ESEN-1546,"GARFIELD, Sol","Psicología Clínica, El Estudio de la Personalidad y la Conducta",1979,1
302/J61-ESEN,ESEN-1551,"JONES, E.; GERARD, H.",Fundamentos de Psicología Social,1992,1
547/R15-ESEN,ESEN-1553,"RAKOFF, Henry; ROSE, Norman",Química Orgánica Fundamental,1992,1
547/B27-ESEN,ESEN-1554,"BURTON, Donald; ROUTH, Joseph",Química Orgánica y Bioquímica,1977,1
614.4/S38-ESEN,ESEN-1555,"SEAMAN, John",Epidemiología de Desastres Naturales,1989,1
362.102/B78-ESEN,ESEN-1557,"BOWDEN, Charles; BURSTEIN, Alvin",Bases Psicosociales de la Atención Médica,1990,1
302.610/O26-ESEN,"ESEN-1558-1560, 4338-4339","O'BRIEN, Maureen",Comunicación y relaciones en enfermería,1983,5
612.63/A59-ESEN,ESEN-1562,"ANN ANDERSON, Betty; CAMACHO, Mercedes; y otros",Transtornos de la Salud Familiar durante el Embarazo,1980,1
302/Z15-ESEN,ESEN-1565,"ZACHARIS, J.; BENDER, C.","Comunicación Oral, un enfoque racional",1993,1
301/G83-ESEN,ESEN-1566,"GROSS, R.; MESSICK, R.; CHAPIN, J.; SUTHERLAND, J.","Ciencias Sociales, Programas actualizados de enseñanza",1983,1
610.736/C84-ESEN,ESEN-1568,"CRAWFORD, Annie; KILANDER, Virginia",Enfermería Psiquiátrica y Salud Mental,1987,1
574/O88-ESEN,ESEN-1569,"OTTO J.; TOWLE, A.",Biología Moderna,1989,1
001.610/P75-ESEN,ESEN-1574,"POLIT, D.; HUNGLER, B.",Investigación Científica en Ciencias de Salud,1985,1
615.1/S31-ESEN,ESEN-1576,"SCHAAPVELD, Kees; BERGSMA, Ellen; y otros",Establecimiento de Prioridades en Matería de Prevención ,1992,1
305.231/M99-ESEN,ESEN-1577,"MYERS, Robert",Los Doce que sobreviven,1993,1
174.957/O65-ESEN,"ESEN-1578,1598,2326",OPS,Bioética temas y perspectivas,1990,3
610.7/L36-ESEN,"ESEN-1580,1601,1727-1728, 1738-1739,1815, 1879, 1881-1882, 1925-1926, 1976-1977, 2310, 2879-2882, 2886-2889",LEDDY S.; PEPPER J.,Bases Conceptuales de la Enfermería Profesional,1989,23
610.734/L33-ESEN,"ESEN-1583, 1600, 1864-1865, 2747-2748, 3070, 3087-3088, 3501","LEVAV, I.",Temas de Salud Mental en la Comunidad,1992,10
515.33/L26-ESEN,ESEN-1586,"LARSON, Roland; HOSTETLER, Robert; EDWARDS, Bruce",Cálculo y Geometría Analítica ,1995,1
540.9/S31-ESEN,ESEN-1587,"ROSENBERG, J.; EPSTEIN, L.",Química General,1988,1
547/M58-ESEN,ESEN-1588,"MILLER, Augustine",Química Básica,1978,1
547/M26-ESEN,ESEN-1589,"THORNTON, R.; NEILSON, R.",Química ogánica,1992,1
547/M26-ESEN,ESEN-1590,"THORNTON, R.; NEILSON, R.","Química ogánica, problemas resueltos",1992,1
574/S47-ESEN,ESEN-1591,SHERMAN I.; SHERMAN V.,"Biología, Perspectiva Humana",1987,1
574.87/CH23-ESEN,ESEN-1592,"AVERS, Charlotte",Biología Celular,1991,1
512.943/S98-ESEN,ESEN-1593,"SWOKOWSKI, Earl",Matrices y Determinantes,1986,1
301/B23-ESEN,"ESEN-1594, 1816, 3093","BARONA, N.; ALVAREZ, L.",Sociedad y salud ,1991,3
618.928/J67-ESEN,ESEN-1604,"JOHNSON, James; RASBURY, Wiley; SIEGEL, Lawrence",Métodos de Tratamiento Infantil,1992,1
610.73/J79-ESEN,ESEN-1606,"INGALLS, Joy; SALERNO, Constance",Enfermería Materno-Infantil y Pediátrica,1991,1
612.3/B17-ESEN,"ESEN-1608, 1670, 1776-1777, 3114-3115","BEAL, Virginia",Nutrición en el ciclo de vida,1993,6
616.9/V39-ESEN,ESEN-1609-1610,"TORO, Ricardo; YEPES, Luis",Fundamentos de Medicina: Psiquiatría,1989,2
574/C95-ESEN,"ESEN-1612, 1787","CURTIS, Helena",Biología,1992,2
574/N47-ESEN,"ESEN-1613, 1832","ORTEN, J.; NEUHAUS, O.",Bioquímica Humana,1993,2
617/O65-ESEN,ESEN-1614-1615,OPS,Manual de Cirugía Básica para la Atención Primaria,1989,2
612.64/S18-ESEN,ESEN1617,"SADLER, T.W.",Embriología Médica,1993,1
612.3/C44-ESEN,"ESEN-1619, 1833-1835, 4044",S.Olivares. D.Soto. I.Zacarías,"Nutrición, Prevención de Riesgos y Tratamiento Dietético",1991,5
615.5/G71-ESEN,ESEN-1620,"Gonzalez Agudelo, Marco Antonio; LOPERA LOTERO, William Dario",Fundamentos de Medicina Manual de Terapeútica,1993,1
616.69/V61-ESEN,ESEN-1621,"VIDAL, Guillermo; ALARCON, Renato",Psiquiatría,1986,1
611.9/G25-ESEN,"ESEN1622, 1627","O'RAHILLY, Ronan",Anatomía de Gardner,1986,2
616.026/H22-ESEN,ESEN-1628,HARRISON,Principios de Medicina Interna ,1991,2
658/CH44-ESEN,ESEN-1633-1634,"CHIAVENATO, Idalberto",Introducción a la Teoría General de la Administración,1989,2
610.730/H97-ESEN,"ESEN-1635-1636, 1938, 3101-3105","ARNDT, Clara; HUCKABAY, Loucine","Administración de Enfermería, Teoría para la Práctica con un Enfoque de Sistemas",1980,8
616.89/V61-ESEN,ESEN-1639,"VIDAL, Guillermo; ALARCON, Renato",Psiquiatría,1986,1
150/G72-ESEN,ESEN-1640-1641,"GOOD, Thomas L.",Psicología Educacional,1983,2
610.736/R34-ESEN,"ESEN-1643-1644, 1814, 2575-2577, 3332","REEDER, Sharon; MARTIN, Leonide",Enfermería Materno-Infantil,1992,7
616.9/V19-ESEN,ESEN-1646-1647,"RESTREPO, J.; MALDONADO, D.",Fundamentos de Medicina: Neumología,1986,2
616.7/M19-ESEN,ESEN-1648,"MALAGON LONDOÑO, Gustavo",Problemas frecuentes del aparato locomotor,1990,1
616.13/V19-ESEN,ESEN-1650,"RESTREPO, A.; CAMPUZANO, G.; FALABELLA, F.; y otros",Fudamentos de Medicina: Hematología,1992,1
618.92/M42-ESEN,"ESEN-1654-1655, 1866-1867, 3145, 3149","MENEGHELLO, Julio R.",Pediatría,1991,6
614/O65-ESEN,"ESEN-1657, 4317",OPS,Sobre la Teoría y Práctica de la Salud Pública,1993,2
614/K83-ESEN,"ESEN-1658, 1675, 1721, 1836-1839",OPS,Materiales de Enseñanza sobre el Uso de la Epidemiología en la Programación de los Servicios Locales de Salud,1994,7
614.4/V59-ESEN,ESEN-1660-1661,"VICTORA, Cesar; BARROS, Fernando; VAUGHAN, Patrick","Epidemiología de la Desigualdad, un estudio longitudinal de 6000 nños brasileños",1992,2
617.7/O65-ESEN,"ESEN-1662-1663, 1955, 2105-2106",OPS,Oftalmología Aplicada,1988,5
616.075/O65-ESEN,"ESEN-1666-1667, 1995",OPS,Anemia: Hematología para un Diagnótico Básico,1986,3
616.94/B76-ESEN,"ESEN-1668-1669, 2671","BOTERO, David; RESTREPO, Marcos",Parasitosis Humana,1992,3
376/L75-ESEN,ESEN-1671-1672,"LOCKE, Edwin",Guía para Estudiar,1991,2
378.3/P31-ESEN,ESEN-1674,"PATTON, J.; PAYNE, J.; KAUFFMAN, J.; BROWN, G.; PAYNE, R.",Casos de Educación Especial,1991,1
610.7/C29-ESEN,"ESEN-1678-2193, 4104-4105","CASTRO, Claudia; CARRIO, Silvia; FERRANTE, Adela",Estrategias de Enseñanza,1992,4
370.112/G18-ESEN,"ESEN-1679, 2194, 4106","FERRANTE, Adela; CASTRO, Claudia","Evaluación Educacional, Conceptos Básicos",1992,3
376.5/G11-ESEN,ESEN-1680,"GALLI, Amanda; CASTRO, Claudia","Evaluación del Desempeño I, Exámenes Orales y Escritos",1992,1
614.42/G18-ESEN,ESEN-1681,"GALLI, Amanda; CASTRO, Claudia","Evaluación del Desempeño II, Observación sistemática, encuestas y entrevistas",1992,1
610.7/G18-ESEN,ESEN-1682,Amanda Galli,Universidad y Salud Interdocente-Asistencial. Programa de formación docente pedagógica,1981,1
373/P53-ESEN,ESEN-1685-1686,"PICCONE AYALA, Claudia","Normas de Evaluación para Programas, Proyectos y Material Educativo",1988,2
312.985/P45-ESEN,ESEN-1689,Istituto Nacional de Estadìstica e Informàtica,"Encuesta Demográfica y de Salud Familiar, 1991-1992",1992,1
362.1-ESEN,ESEN-1693,Mario Testa,Pensar en salud,1993,1
614.40/M41-ESEN,"ESEN-1694, 1971, 2733",Organizaciòn Panamericana de la Salud,Epidemiología sin Números,1992,3
614/A33-ESEN,ESEN-1696,"DEVER, Alan",Epidemiología y Administración de Servicios de Salud,1991,1
610.736/A26-ESEN,ESEN-1700,Asoc. Española de Enfermería de la Infancia,V Jornadas Nacionales de Enfermería de la Infancia,1989,1
610.734/A26-ESEN,ESEN-1705,ASOC.ESPAÑOLA DE ENFERMERIA DOCENTE,"Séptimas Sesiones de Trabajo de la Asociación Española de Enfermería Docente: ""La enfermería para el 2000 un reto. Unas soluciones""",1986,1
615.882/C13-ESEN,ESEN-1710,"CABIESES, Fernando",Apuntes de Medicina Tradicional; Racionalizaciòn de lo irracional,1993,1
174.2/O65-ESEN,ESEN-1711,ORG.COLEGIAL DE ENFERMERIA DE ESPAÑA,Código deontológico de la enfermería española,1989,1
610.7/M81-ESEN,ESEN-1712,Asoc. Española de Enfermería: Docente,Segunda Sesiones de Trabajo de la Asociación Española de Enfermería Docente: La Formación Posbásica en Enfermería,1981,1
658.1/O65-ESEN,ESEN-1716,OPS,Desarrollo y Fortelecimiento de los Sistemas Locales de Salud,1992,1
610.6/M57-ESEN,ESEN-1717,"MILLER, Lynne; NEWMAN, Jeanne; MURPHY, Gael; MARIANI, Elizabeth",La resolución de problemas y el mejoramiento de procesos como medios para lograr calidad,1997,1
301.2/F81-ESEN,ESEN-1719,"Franco, Carlos",La otra modernidad,1995,1
658/O57-ESEN,ESEN-1720,"PAGANINI, José; CAPOTE, Roberto",Los Sistemas Locales de Salud,1990,1
614.4/B29-ESEN,"ESEN-1723, 1911-1912, 2397, 2647","BEAGLEHOLE, R.;BONITA, R.; KJELLSTROM, T.",Epidemiología Básica,1994,5
614/T41-ESEN,ESEN-1724,"BUCK, Carol; LLOPIS, Alvaro; NAJERA, Enrique; TERRIS, Milton","El Desafío de la Epidemiología, Problemas y Lecturas Seleccionadas",1994,1
610.730/M26-ESEN,"ESEN-1729-1730, 1931, 3106-3107","MARRINER-TOMEY, Ann",Manual para Administración de Enfermería,1992,5
610.736/C75-ESEN,"ESEN-1731, 1811-1812, 1993, 2305, 2680, 2677, 2688, 3277-3278","COOK, Sue; FONTAINE, Karen",Enfermería Psiquiátrica,1993,10
610.736/L82-ESEN,"ESEN-1732, 1735, 1795-1798, 2913",B.Long. W.Phipps,Enfermería Médicoquirúrgica,1992,7
610.736/S61-ESEN,"ESEN-1733-1734, 1935-1938,, 2909, 3152-3153, 3157",S.Smeltzer. B.Bare,Enfermería Médico Quirúrgica,1994,9
615.5/G72-ESEN,"ESEN-1742, 2869","GOODMAN, Alfred; RALL, Theodore; NIES, Alan; TAYLOR, Palmer",Las Bases Farmacológicas de la Terapeútica ,1991,2
610.736/W79-ESEN,"ESEN-1743-1744, 1813, 1918-1919, 2743, 3369-3370, 3496","WONG, Donna",Enfermería Pediátrica,1995,9
001.42/C23-ESEN,"ESEN-1745, 1905, 3100, 3515, 3799","DE CANALES, F.; DE ALVARADO, E.; PINEDA, E.","Metodología de la Investigación, Manual para el Desarrollo de Personal de Salud",1994,5
610.73/M26-ESEN,"ESEN-1747-1748, 1902-1903, 2128, 2131, 2311, 2313-2314, 2562-2563, 2675, 3065-3066","MARRINER-TOMEY, Ann",Modelos y Teorías en Enfermería,1994,14
612.015/H76-ESEN,"ESEN-1750, 2103-2104, 3193","HORNE, Mima; SWEARINGEN, Pamela","Guía Clínica de Enfermería: Líquidos, Electrolitos y Equilibrio Acido-Base",1994,4
612/G97-ESEN,"ESEN-1751, 1853, 2003-2004","GUYTON, Arthur",Tratado de Fisiología Médica,1991,4
616.1/B39-ESEN,"ESEN-1754, 3307","MONTOYA TORO, Mario",Fundamentos de Medicina: Cardiología,1992,2
618.921/P47-ESEN,ESEN-1756,"PETER, Georges; LEPOW, Martha; McCRACKEN, Georgen; PHILLIPS, Carol","Red Book, Enfermedades Infecciosas en Pediatría",1993,1
618.921/P45-ESEN,"ESEN-1757, 2138, 3150","PEREZ SANCHEZ, Alfredo; DONOSO SIÑA, Enrique",Obstetricia,1992,3
616.075/S36-ESEN,"ESEN-1758-1759, 2031, 3343-3344","SEIDEL, H.; BALL, J.; DAINS, J.; BENEDICT, G.","Manual ""Mosby"" de Exploración Física",1995,5
641.3/C25-ESEN,ESEN-1760-1761,"BEGHIN, Ivan; CAP, Miriam; DUJARDIN, Bruno",Guía para Evaluar el Estado de Nutrición,1994,2
610.73/K55-ESEN,"ESEN-1762-1763, 1794, 2111-2113, 2293-2295, 3194-3196, 3506","KIM, M.; McFARLAND, G.; McLANE, A.",Guía clínica de enfermería: Diagnóstico en Enfermería y plan de cuidados,1994,13
618.1/C45-ESEN,"ESEN-1764, 1933, 1951, 2022, 2540","CERRUTI BASSO, Stella",Sexualidad Humana,1990,5
615.4/L52-ESEN,ESEN-1765-1766,THE MEDICAL LETTER,Compendio de Medicamentos de Elección,1994,2
615.4/L52-ESEN,ESEN-1767-1768,THE MEDICAL LETTER,Compendio de Terapeútica Antimicrobiana ,1995,2
610.734/K13-ESEN,ESEN-1770-1771,E.Kadt. R.Tasca,"Promover la Equidad, un nuevo enfoque desde el sector salud",1993,2
610.73/R77-ESEN,ESEN-1774,"ROJAS, William",Inmunología,1995,1
001.610/P75-ESEN,"ESEN-1778, 1872-1873, 1900-1901, 1996, 2398, 3118-3119","POLIT, D.; HUNGLER, B.",Investigación Científica en Ciencias de Salud,1994,9
614.9/D97-ESEN,ESEN-1779,"DURHAM, Jerry; COHEN, Felissa",Pacientes con SIDA Cuidados de Enfermería,1994,1
617.9/H87-ESEN,ESEN-1780,"HUERTA TORRES, Felicitas",Instrumentación en el Quirófano,1984,1
610.736/K72-ESEN,ESEN-1781,"ATKINSON, Lucy; KOHN, Mary",Técnicas de Quirófano de Berry y Kohn,1986,1
574.M2/B69-ESEN,ESEN-1782-1783,"BOHINSKI, Robert",Bioquímica,1991,2
547.1/C74-ESEN,ESEN-1784-1785,"CONN, Eric; STUMPF, P.",Bioquímica Fundamental,1992,2
574/S47-ESEN,ESEN-1786,SHERMAN I.; SHERMAN V.,"Biología, Perspectiva Humana",1987,1
610.73/I91-ESEN,"ESEN-1799-1805, 2854-2855","IYER, P.; TAPTICH, B.; BERNOCCHI-LOSEY, D.",Proceso de Enfermería y Diagnóstico de Enfermería,1993,9
616.462/S36-ESEN,ESEN-1825-1826,"SEGAL HALPERIN, Boris",El Pie del Paciente Diabético,1989,2
362.1/P16-ESEN,ESEN-1829-1830,OPS,La Garantía de Calidad Acreditación de Hospitales para América Latina y el Caribe,1992,2
658.1/D65-ESEN,ESEN-1831,OPS,Desarrollo y Fortelecimiento de los Sistemas Locales de Salud,1992,1
616.84/F56-ESEN,ESEN-1843-1845,"FLAHERTY, J.; CHANNON, R.; DAVIS, J.",Psiquiatría (Diagnóstico y Tratamiento),1991,3
617.07/S21-ESEN,ESEN-1846-1847,"SABISTON, David","Tratado de Patología Quirúrgica, Bases Biológicas de la Práctica Quirúrgica Moderna",1991,2
618.2/T11-ESEN,ESEN-1848,"TABER, Ben-Zion",Urgencias en Obstetricia y Ginecología,1995,1
658.83/K77-ESEN,ESEN-1849,"KOTLER, P.; ROBERTO, E.",Estrategias para Cambiar el Comportamiento Público. Mercadotecnia Social,1993,1
616.65/F89-ESEN,"ESEN-1852, 1920, 3554-3556, 3689","FUENZALIDA-PUELMA, Hernán; LINARES PARADA, Ana María; SERRANO LAVERTTU, Diana",Aportes de la Etica y el Derecho al Estudio del Sida,1991,6
307.2/G64-ESEN,ESEN-1855,"GOODE, W.; HATT, P.",Métodos de Investigación Social,1990,1
301.2/B78-ESEN,ESEN-1956,"BOWDEN, Charles; BURSTEIN, Alvin",Bases Psicosociales de la Atención Médica,1990,1
